,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
1,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
4,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
6,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
7,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
8,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
9,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,BBTG12,315,"-132.993,00","29.554,00",0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-22,22%",000,"9.000,00",000,"0,00%"
11,QUAL3,308,"-4.309,18",063,0472,"2,57%",191,747,184,-048,472,243,"25,65%","0,42%",109,"13,95%","-0,01%","16.242.100,00","1.379.470.000,00",163,"-0,75%"
12,GNDI3,6695,"-3.584,82",584,3423,"2,39%",2378,7965,8705,-621,9113,5088,"3,93%","-0,09%",117,"3,09%","-0,16%",000,"7.116.080.000,00",053,"25,23%"
13,MEGA3,982,-86264,123,2369,"0,00%",356,-483,1027,-060,2423,1408,"23,06%","-0,16%",61,"3,66%","-0,14%","8.112.470,00","4.954.980.000,00",183,"100,74%"
14,GUAR4,15100,-86100,1489,8832,"0,00%",5318,2095,28118,"40.126,70",28755,8733,"3,14%","-1,03%",165,"2,42%","-1,73%",000,"5.062.220.000,00",076,"4,79%"
15,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
16,TELB3,1620,-39520,083,3585,"0,00%",345,105,-454,-183,-109,-543,"-78,90%","-0,91%",570,"-11,09%","-0,21%","58.325,70","1.676.680.000,00",008,"76,55%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,TELB4,1230,-30006,063,2722,"0,00%",262,080,-345,-139,000,000,"-78,90%","-0,91%",570,"-11,09%","-0,21%","95.725,90","1.676.680.000,00",008,"76,55%"
19,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
20,DMMO3,176,-25865,-172,2854,"0,00%",3346,1190,637,-137,590,542,"44,81%","-1,10%",225,"70,39%","0,66%",000,"-553.275.000,00",000,"-17,37%"
21,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
22,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
23,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
24,LWSA3,639,-19927,131,3111,"0,82%",862,644,5641,1160,4179,1572,"5,51%","-1,56%",148,"2,03%","-0,66%","41.832.800,00","2.913.770.000,00",003,"43,67%"
25,MAPT3,3005,-17479,-445,0000,"0,00%",35726,"-5.523,19",-20012,-396,-20012,-20012,"0,00%","0,00%",0,"-17,97%","2,55%",000,"-6.207.000,00",000,"0,00%"
26,MYPK4,3179,-17004,129,0300,"0,00%",341,211,742,-179,1309,757,"4,05%","0,48%",145,"6,73%","-0,76%",000,"3.786.150.000,00",164,"17,14%"
27,CBAV3,457,-12514,053,0350,"9,64%",200,092,4593,-097,9007,853,"0,76%","0,77%",220,"0,53%","-0,42%","20.714.100,00","5.176.110.000,00",077,"-16,67%"
28,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
29,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
30,BAUH4,7099,-9699,386,1765,"1,70%",2291,3033,4782,5170,4552,2721,"3,69%","-1,82%",120,"7,60%","-3,98%","9.449,25","96.015.000,00",010,"3,27%"
31,LINX3,3740,-9095,438,7885,"1,52%",2745,1196,5317,4706,5149,2297,"14,83%","-8,67%",214,"6,82%","-4,81%",000,"1.619.010.000,00",022,"15,54%"
32,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
33,MERC3,1528,-7653,111,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,45%",000,"248.683.000,00",000,"-21,16%"
34,CLSA3,467,-7595,121,1649,"0,00%",980,189,-1828,198,-995,-5350,"-9,02%","-2,17%",415,"-11,51%","-1,59%","2.125.630,00","727.345.000,00",006,"11,87%"
35,MYPK3,1370,-7328,056,0129,"3,65%",147,091,320,-077,887,513,"4,05%","0,48%",145,"6,73%","-0,76%","19.806.900,00","3.786.150.000,00",164,"17,14%"
36,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
37,MNPR3,1500,-6867,-033,0278,"0,00%",330,-029,162,-023,162,141,"17,19%","-0,40%",33,"21,57%","0,47%","92.789,50","-327.213.000,00",000,"16,69%"
38,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
39,IDVL11,14000,-6600,6056,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
40,MAPT4,1100,-6398,-163,0000,"0,00%",13078,"-2.021,80",-7325,-145,-7325,-7325,"0,00%","0,00%",0,"-17,97%","2,55%",6109,"-6.207.000,00",000,"0,00%"
